0.29,0.33196,0.38,0.43498,0.49793,0.56998,0.65245,0.74686,0.85493,0.97864,1.1202,1.2823,1.4679,1.6803,1.9235,2.2018,2.5204,2.8851,3.3025,3.7804,4.3274,4.9536,5.6704,6.4909,7.4302,8.5053,9.736,11.145,12.757,14.603,16.717,19.136,21.904,25.074,28.702
0,0,0,0,0,0,0.68321,0.34161,1.412,3.4958,6.946,0.71737,2.0724,0,0.35299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.98883,2.6059,12.878,3.1643,0.5933,3.4086,6.6077,2.0591,1.2331,1.4542,0.23267,0.011633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.38418,0.38418,1.9209,4.6101,1.5367,1.9209,1.1525,1.9593,1.9209,0.38418,0,0.38418,0.38418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.47338,2.3669,7.148,5.2545,9.5622,13.996,41.105,29.239,12.182,11.692,9.6726,2.5247,1.4201,0.015779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.43768,0.43768,10.526,8.5567,9.454,16.807,53.77,18.054,9.4759,22.147,15.428,3.5452,0.48145,0.21884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.3568,4.7135,0.78559,5.6039,35.77,7.9475,2.3699,4.7528,0.039279,0.026186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.68965,3.2184,2.7586,3.6781,3.6781,4.1839,6.6666,2.5287,2.5747,1.6552,3.908,1.1494,0.22988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.62377,1.8713,0.62377,2.4951,2.5886,24.483,12.522,4.382,0.046783,1.8869,0.015594,0,0,0,0.015594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.33799,1.2291,2.4581,3.3799,7.1131,4.655,2.7961,2.4888,2.1816,0.30726,0.30726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.66603,0,2.6641,1.6651,2.0147,5.6945,0.99904,1.3321,0.34966,0.33301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.28363,1.7018,6.5236,35.738,10.494,6.5236,8.2254,2.2691,1.4182,0.28363,0.28363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.35262,0.33583,1.0075,6.0785,14.86,5.7258,3.056,5.39,2.3508,0,0.33583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.1706,1.1706,0.5853,5.0482,9.6867,5.5896,4.3897,2.9558,0.5853,1.1706,0.029265,1.1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.12282,0.24564,2.7021,0.85975,0.85975,6.6447,12.909,2.3827,0.98258,1.3633,0.36847,0.36847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.63102,1.6249,3.1709,5.6949,3.0289,1.1201,1.5933,0.63102,0.15775,0,0.31551,0.31551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.39691,5.5567,19.845,31.8,40.548,55.345,30.07,10.177,12.78,6.795,1.6035,0,0,0.39691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.096869,71.328,77.624,142.2,162.13,745.7,332.84,247.73,428.55,369.56,84.212,0.064579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.3837,3.0922,17.515,12.594,2.3925,1.7831,11.646,2.8213,1.422,0.36113,0.022571,0,0.33856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
