0.29,0.33196,0.38,0.43498,0.49793,0.56998,0.65245,0.74686,0.85493,0.97864,1.1202,1.2823,1.4679,1.6803,1.9235,2.2018,2.5204,2.8851,3.3025,3.7804,4.3274,4.9536,5.6704,6.4909,7.4302,8.5053,9.736,11.145,12.757,14.603,16.717,19.136,21.904,25.074,28.702
0,0,0.34161,1.708,0,1.0248,2.0496,0.68321,3.5071,7.3559,14.917,3.5071,5.9098,1.8219,5.6365,3.8943,0.71737,0.35299,0,0.011387,0.022774,0.011387,0.39854,0.022774,0,0,0.011387,0,0,0,0,0,0,0,0
0,0,0.19777,0.39553,2.1754,5.2234,25.954,6.3285,1.1866,7.4104,13.809,4.5137,2.4663,2.92,0.6631,0.023267,0.19777,0.61657,0.0698,0.30247,1.2913,1.9428,2.1405,0.63983,0.023267,0,0,0,0,0,0,0,0,0,0
0,0,0,0.76836,1.9209,4.226,9.2203,3.0734,4.226,2.3051,4.3028,3.8418,1.9209,0.38418,0.76836,0.76836,0,0,0.019209,0,0.48022,0.80678,0.40339,0.019209,0.076836,0.019209,0,0,0,0,0,0,0,0,0
0,0.47338,0,0.47338,1.4201,5.6805,14.769,10.509,20.545,28.939,82.225,58.951,24.395,23.385,20.324,5.5227,3.8028,0.047338,0.015779,0.015779,0.047338,0.015779,0.48916,0.063117,0.59961,1.1519,0.078896,0.015779,0,0,0,0,0,0,0
0,0.21884,0.65653,0.21884,1.0942,7.2437,21.928,17.77,20.44,34.271,108.85,36.328,19.171,44.513,30.857,7.7689,2.3635,0.65653,0,0,0,0.065653,0.087537,0.15319,0.087537,0.021884,0,0,0,0,0,0,0,0,0
0,0,0,3.9279,1.5712,0.81177,5.5384,11.011,2.3568,12.006,71.541,16.681,4.7397,10.304,0.078559,0.85105,0,0,0,0,0.013093,0,0.065466,0.026186,0.11784,0.052372,0,0,0,0,0,0,0,0,0
0,0.22988,0.91953,0.68965,1.8391,7.3563,9.4252,11.494,10.115,9.7471,14.023,5.0574,5.3793,3.5402,7.816,2.5747,0.68965,0,0,0,0.22988,0.22988,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.62377,0,0.62377,0.62377,1.8713,6.2533,3.7426,8.109,6.4248,48.966,25.668,8.7639,0.71733,4.3976,0.031188,0,0,0,0.031188,0,0,0,0.015594,0,0,0,0,0,0,0,0,0,0,0
0,0,0.61453,0.30726,0.92179,6.1606,14.226,5.2235,8.3115,9.2486,15.471,10.232,6.2067,5.3003,4.6704,0.62989,0.67598,0,0.32263,0.061453,0.12291,0.16899,0.076816,0.046089,0.33799,0.30726,0,0,0,0,0,0,0,0,0
